,HotelId,ReservationStatusDate,ArrivalDate,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,CustomerType,ADR,Meal,Country,Company,ReservedRoomType,IsRepeatedGuest,IsCanceled
12162,1,2016-10-21,2017-06-16,343,1,2,2,0,Transient,70.2,BB       ,PRT,       NULL,D               ,False,True
10755,1,2017-03-13,2017-04-01,48,2,5,2,0,Transient,70.0,BB       ,GBR,       NULL,D               ,False,True
11677,1,2016-06-07,2017-05-25,462,0,3,2,0,Transient,78.0,HB       ,PRT,       NULL,A               ,False,True
11848,1,2017-03-29,2017-06-01,344,3,8,2,0,Contract,68.4,BB       ,PRT,       NULL,D               ,False,True
8993,1,2016-06-20,2016-10-22,178,2,2,2,2,Transient,110.75,BB       ,SWE,       NULL,G               ,False,True
9435,1,2016-11-12,2016-11-27,15,2,1,1,0,Transient,43.0,BB       ,IRL,       NULL,A               ,False,True
11681,1,2016-07-25,2017-05-25,312,1,3,2,0,Transient,54.0,BB       ,GBR,       NULL,A               ,False,True
796,1,2015-07-30,2015-07-30,0,0,1,1,0,Transient,114.0,BB       ,PRT,        270,A               ,False,True
5803,1,2016-04-12,2016-05-14,211,1,1,2,0,Transient-Party,85.0,HB       ,PRT,       NULL,A               ,False,True
1767,1,2015-07-31,2015-09-13,120,2,3,2,0,Transient,107.0,BB       ,PRT,       NULL,E               ,False,True
8886,1,2016-10-06,2016-10-18,14,0,3,1,0,Transient,75.0,BB       ,GBR,       NULL,D               ,False,True
10741,1,2017-03-22,2017-03-31,19,0,2,2,2,Transient,95.0,BB       ,ESP,       NULL,C               ,False,True
9144,1,2016-09-20,2016-10-29,39,2,1,2,0,Transient,71.23,BB       ,PRT,       NULL,D               ,False,True
18881,1,2015-12-02,2015-12-05,11,2,1,2,0,Transient-Party,68.0,HB       ,PRT,       NULL,A               ,False,True
3783,1,2015-09-14,2016-01-05,132,0,3,2,0,Transient,29.16,BB       ,PRT,       NULL,A               ,False,True
7625,1,2016-08-02,2016-08-17,16,0,4,1,0,Transient,239.0,BB       ,GBR,       NULL,D               ,False,True
5969,1,2016-04-13,2016-05-18,40,0,2,1,0,Transient,55.0,BB       ,PRT,       NULL,A               ,False,True
8973,1,2016-06-20,2016-10-22,135,2,2,2,0,Transient,68.0,BB       ,SWE,       NULL,D               ,False,True
7714,1,2016-08-04,2016-08-22,259,1,2,2,0,Transient,126.0,BB       ,PRT,       NULL,A               ,False,True
12541,1,2017-02-27,2017-07-03,280,2,5,2,0,Contract,112.8,HB       ,PRT,       NULL,D               ,False,True
7076,1,2016-04-27,2016-07-19,88,0,5,2,0,Transient,212.0,HB       ,GEO,       NULL,D               ,False,True
13435,1,2017-08-14,2017-08-15,1,0,1,2,0,Transient,149.0,BB       ,GBR,       NULL,D               ,False,True
2960,1,2015-10-26,2015-11-08,15,2,0,1,0,Transient,79.0,HB       ,PRT,       NULL,A               ,False,True
9905,1,2017-01-11,2017-01-20,10,0,2,2,0,Transient,48.0,BB       ,PRT,       NULL,A               ,False,True
18999,1,2017-06-05,2017-06-09,254,0,2,2,0,Transient,108.9,HB       ,PRT,       NULL,A               ,True,True
18833,1,2015-11-30,2016-08-18,268,0,3,2,0,Transient,131.0,BB       ,PRT,       NULL,A               ,False,True
5294,1,2016-01-05,2016-04-24,143,2,2,2,0,Transient,84.0,FB       ,PRT,       NULL,A               ,False,True
17972,1,2016-02-02,2016-02-03,2,0,1,1,0,Transient,39.0,BB       ,PRT,       NULL,A               ,True,True
14996,1,2015-04-29,2015-09-03,244,0,3,2,0,Transient,36.0,BB       ,PRT,       NULL,A               ,False,True
11409,1,2017-01-09,2017-05-05,295,2,6,2,0,Transient,54.0,BB       ,GBR,       NULL,A               ,False,True
8353,1,2016-08-10,2016-09-23,44,2,2,3,0,Transient,124.55,BB       ,PRT,       NULL,G               ,False,True
4934,1,2016-01-14,2016-04-09,121,2,5,2,0,Transient,72.0,HB       ,GBR,       NULL,D               ,False,True
1741,1,2015-06-23,2015-09-12,101,0,1,1,0,Transient,89.0,BB       ,PRT,       NULL,A               ,False,True
11688,1,2016-12-29,2017-05-25,305,2,5,2,1,Transient-Party,54.0,BB       ,GBR,       NULL,A               ,False,True
6233,1,2016-05-26,2016-05-29,107,4,6,2,0,Transient,79.2,BB       ,PRT,       NULL,E               ,False,True
7574,1,2016-08-01,2016-08-15,20,1,4,2,0,Transient,256.0,BB       ,ESP,       NULL,E               ,False,True
11506,1,2017-01-25,2017-05-12,120,2,5,2,0,Transient,100.0,BB       ,IRL,       NULL,D               ,False,True
18353,1,2015-11-17,2016-02-07,82,2,0,2,0,Transient-Party,86.0,BB       ,PRT,       NULL,A               ,True,True
7793,1,2016-07-17,2016-08-27,41,2,1,3,1,Transient,322.0,HB       ,GBR,       NULL,H               ,False,True
16664,1,2015-09-06,2015-09-06,222,4,6,2,0,Transient,110.7,BB       ,PRT,       NULL,A               ,False,True
15250,1,2015-06-27,2015-09-26,207,1,1,2,0,Transient,34.0,HB       ,PRT,       NULL,A               ,False,True
5620,1,2016-02-29,2016-05-06,81,1,2,2,0,Transient,73.0,BB       ,PRT,       NULL,A               ,False,True
7546,1,2016-06-24,2016-08-14,60,1,0,2,0,Transient,189.0,BB       ,ESP,       NULL,A               ,False,True
5851,1,2016-05-06,2016-05-15,9,1,0,2,0,Transient-Party,70.0,BB       ,PRT,       NULL,A               ,False,True
3970,1,2015-12-30,2016-02-11,64,1,3,2,0,Transient,29.0,BB       ,PRT,       NULL,A               ,False,True
6286,1,2015-12-01,2016-06-01,215,0,3,2,0,Transient,110.0,FB       ,PRT,       NULL,A               ,False,True
11204,1,2017-04-03,2017-04-29,26,0,1,2,0,Transient,85.0,BB       ,ESP,       NULL,A               ,False,True
16551,1,2015-09-02,2015-10-09,247,1,2,2,0,Transient,81.0,FB       ,ESP,       NULL,A               ,False,True
8900,1,2016-10-05,2016-10-19,23,0,3,2,2,Transient,130.0,BB       ,FRA,       NULL,G               ,False,True
13637,1,2017-06-12,2017-08-24,77,0,3,2,0,Transient,198.0,BB       ,PRT,       NULL,A               ,False,True
1137,1,2015-07-21,2015-08-15,71,2,5,2,0,Transient,135.0,HB       ,PRT,       NULL,A               ,False,True
1885,1,2015-07-27,2015-09-19,65,2,5,2,0,Transient,89.0,BB       ,PRT,       NULL,A               ,False,True
19343,1,2015-12-15,2015-12-17,13,0,1,1,0,Transient,35.0,BB       ,PRT,       NULL,A               ,False,True
15044,1,2015-05-18,2015-07-26,250,2,1,2,0,Transient,178.0,BB       ,PRT,       NULL,E               ,False,True
3849,1,2016-01-25,2016-01-26,4,0,1,1,0,Transient,38.0,BB       ,PRT,       NULL,A               ,False,True
6536,1,2016-01-09,2016-06-16,250,2,4,2,0,Transient,99.0,BB       ,PRT,       NULL,E               ,False,True
9690,1,2016-12-14,2016-12-26,90,1,3,2,0,Transient,37.8,BB       ,ESP,       NULL,A               ,False,True
11797,1,2016-08-31,2017-05-30,295,2,8,2,0,Transient,80.1,BB       ,IRL,       NULL,A               ,False,True
13030,1,2017-06-10,2017-07-28,69,2,3,2,0,Transient,257.0,HB       ,ESP,       NULL,D               ,False,True
3800,1,2016-01-06,2016-01-08,19,1,2,2,0,Transient,52.8,BB       ,PRT,       NULL,E               ,False,True
13424,1,2017-05-29,2017-08-14,195,2,5,2,1,Transient,201.6,HB       ,PRT,       NULL,D               ,False,True
1601,1,2015-09-04,2015-09-05,1,2,6,2,2,Transient,153.0,BB       ,PRT,       NULL,G               ,False,True
11569,1,2017-03-23,2017-05-17,70,2,5,2,2,Transient,173.0,HB       ,CHE,       NULL,C               ,False,True
6666,1,2016-06-15,2016-06-22,295,1,4,1,0,Transient,57.51,BB       ,PRT,       NULL,A               ,False,True
8543,1,2016-04-11,2016-10-05,198,2,7,2,0,Transient,107.6,HB       ,DEU,       NULL,E               ,False,True
10340,1,2017-01-19,2017-02-28,49,0,2,2,0,Transient,35.0,BB       ,PRT,       NULL,A               ,False,True
6852,1,2016-03-12,2016-07-07,123,0,3,2,0,Transient,170.0,BB       ,CHE,       NULL,E               ,False,True
6728,1,2016-01-25,2016-06-27,167,1,5,2,0,Transient,155.33,HB       ,PRT,       NULL,D               ,False,True
14761,1,2015-01-21,2015-09-17,259,0,3,1,0,Transient,33.3,BB       ,GBR,        223,A               ,False,True
13824,1,2016-03-14,2016-03-14,0,1,0,1,0,Transient,40.0,BB       ,PRT,         53,A               ,False,True
3525,1,2015-12-20,2015-12-22,3,0,4,3,1,Transient,110.75,BB       ,PRT,       NULL,H               ,False,True
19202,1,2015-12-10,2016-02-26,92,1,2,2,0,Transient,79.0,Undefined,PRT,       NULL,A               ,False,True
11416,1,2016-10-07,2017-05-06,227,2,5,2,0,Transient,54.0,BB       ,IRL,       NULL,A               ,False,True
10206,1,2016-12-02,2017-02-19,79,2,3,2,0,Transient,37.0,BB       ,ITA,       NULL,A               ,False,True
4717,1,2016-02-17,2016-03-30,43,0,1,2,0,Transient,60.0,BB       ,PRT,       NULL,A               ,False,True
9172,1,2016-09-24,2016-10-31,53,2,5,3,1,Transient,93.57,BB       ,IRL,       NULL,H               ,False,True
8095,1,2016-06-30,2016-09-11,75,2,1,2,1,Transient,190.67,BB       ,BRA,       NULL,H               ,False,True
8721,1,2016-10-06,2016-10-11,18,0,3,2,0,Transient-Party,81.0,HB       ,PRT,       NULL,E               ,False,True
9243,1,2016-07-18,2016-11-05,211,2,1,2,0,Transient,30.0,BB       ,PRT,       NULL,A               ,False,True
4924,1,2016-03-01,2016-04-09,84,2,4,2,0,Transient,63.5,BB       ,PRT,       NULL,F               ,False,True
12614,1,2017-07-05,2017-07-08,3,2,2,3,1,Transient,265.0,BB       ,PRT,       NULL,H               ,False,True
13601,1,2017-08-03,2017-08-21,29,1,5,2,0,Transient,230.0,BB       ,IRL,       NULL,A               ,False,True
7107,1,2016-07-13,2016-07-22,10,0,1,2,0,Transient-Party,126.0,BB       ,PRT,       NULL,A               ,False,True
1348,1,2015-07-15,2015-08-25,42,2,6,1,0,Transient,158.38,BB       ,PRT,       NULL,D               ,False,True
7778,1,2016-05-16,2016-08-26,121,2,2,2,2,Transient,249.5,BB       ,GBR,       NULL,G               ,False,True
11258,1,2017-04-13,2017-04-30,25,2,0,2,0,Transient,102.0,BB       ,GBR,       NULL,D               ,False,True
10440,1,2016-08-01,2017-03-07,218,2,5,2,2,Transient,87.0,BB       ,GBR,       NULL,G               ,False,True
3313,1,2015-12-02,2015-12-05,66,1,1,2,0,Transient-Party,64.0,FB       ,PRT,       NULL,A               ,False,True
3174,1,2015-11-14,2015-11-20,36,0,2,2,0,Transient-Party,64.0,FB       ,PRT,       NULL,A               ,False,True
9995,1,2017-01-07,2017-02-03,28,1,2,2,0,Transient,48.0,BB       ,PRT,       NULL,A               ,False,True
6515,1,2016-01-25,2016-06-14,147,0,4,2,2,Transient,161.0,BB       ,PRT,       NULL,G               ,False,True
12230,1,2016-09-22,2017-06-18,269,4,6,2,0,Transient,80.1,BB       ,ESP,       NULL,A               ,False,True
14789,1,2015-01-30,2015-10-04,275,2,0,2,0,Transient,50.0,HB       ,PRT,       NULL,A               ,False,True
4253,1,2016-02-24,2016-02-27,123,1,1,2,0,Transient-Party,64.0,Undefined,ESP,       NULL,A               ,False,True
10993,1,2017-03-13,2017-04-14,43,0,2,2,0,Transient,105.0,BB       ,PRT,       NULL,A               ,False,True
681,1,2015-06-26,2015-07-25,54,2,3,2,0,Transient,134.0,BB       ,PRT,       NULL,A               ,False,True
11886,1,2016-09-03,2017-06-02,282,2,6,2,2,Transient,150.25,BB       ,IRL,       NULL,G               ,False,True
2374,1,2015-07-08,2015-10-10,143,2,5,2,0,Transient,36.05,BB       ,PRT,       NULL,A               ,False,True
19198,1,2015-12-10,2016-02-26,92,1,2,2,0,Transient,79.0,Undefined,PRT,       NULL,A               ,False,True
9090,1,2016-08-30,2016-10-27,69,2,4,3,1,Transient,116.0,BB       ,IRL,       NULL,H               ,False,True
14689,1,2015-01-21,2015-09-17,259,0,3,2,0,Transient,40.05,BB       ,GBR,        223,A               ,False,True
3581,1,2015-09-04,2015-12-24,113,2,6,2,0,Transient,40.95,BB       ,PRT,       NULL,A               ,False,True
13323,1,2017-04-17,2017-08-09,116,2,8,2,1,Transient,392.0,HB       ,PRT,       NULL,F               ,False,True
7958,1,2016-06-19,2016-09-04,78,3,5,3,1,Transient,252.0,HB       ,ESP,       NULL,H               ,False,True
4075,1,2015-12-11,2016-02-12,140,0,2,2,0,Transient,50.0,HB       ,PRT,       NULL,A               ,False,True
12462,1,2017-05-06,2017-07-01,59,2,1,2,2,Transient,250.0,BB       ,USA,       NULL,G               ,False,True
4038,1,2016-02-05,2016-02-12,112,0,2,2,0,Transient-Party,68.0,FB       ,PRT,       NULL,A               ,False,True
3931,1,2016-02-02,2016-02-08,102,1,2,2,0,Transient-Party,50.0,HB       ,PRT,       NULL,A               ,False,True
10915,1,2017-03-07,2017-04-10,56,1,2,2,0,Transient,75.0,BB       ,GBR,       NULL,A               ,False,True
3730,1,2015-11-17,2015-12-31,49,0,3,2,0,Transient,145.87,BB       ,PRT,       NULL,D               ,False,True
12767,1,2017-05-02,2017-07-16,213,2,2,2,0,Transient,104.85,BB       ,PRT,       NULL,A               ,False,True
8671,1,2016-09-07,2016-10-09,131,2,0,2,0,Transient-Party,55.0,BB       ,PRT,       NULL,A               ,False,True
3177,1,2015-11-17,2015-11-20,36,0,2,2,0,Transient-Party,64.0,FB       ,PRT,       NULL,A               ,False,True
2228,1,2015-09-03,2015-10-06,328,2,5,20,0,Group,0.0,BB       ,PRT,       NULL,D               ,False,True
13351,1,2017-07-04,2017-08-11,88,0,2,2,0,Transient,230.0,BB       ,PRT,       NULL,A               ,False,True
13221,1,2017-07-24,2017-08-05,16,1,1,2,0,Transient,214.0,BB       ,ESP,       NULL,A               ,False,True
10645,1,2016-12-15,2017-03-24,214,2,5,1,0,Transient-Party,46.0,HB       ,PRT,       NULL,A               ,False,True
11532,1,2017-02-25,2017-05-14,98,2,1,1,0,Transient,76.0,BB       ,DEU,       NULL,A               ,False,True
5618,1,2016-05-06,2016-05-06,0,0,1,1,0,Transient,42.0,BB       ,PRT,       NULL,A               ,False,True
3911,1,2016-01-19,2016-02-06,72,2,1,2,0,Transient-Party,73.33,HB       ,PRT,       NULL,D               ,False,True
1508,1,2015-06-06,2015-09-01,97,2,5,2,0,Transient,120.71,BB       ,PRT,       NULL,E               ,False,True
8505,1,2015-08-27,2016-10-01,403,6,15,2,0,Transient,52.2,BB       ,PRT,       NULL,A               ,False,True
12205,1,2017-05-21,2017-06-18,28,1,0,2,0,Transient,102.6,BB       ,PRT,       NULL,D               ,False,True
13095,1,2017-06-26,2017-07-31,142,1,4,2,1,Transient,309.1,Undefined,PRT,       NULL,E               ,False,True
2941,1,2015-11-04,2015-11-07,36,2,6,1,0,Transient-Party,36.0,BB       ,PRT,        281,A               ,False,True
1297,1,2015-08-01,2015-08-23,23,2,2,2,0,Transient,211.0,BB       ,PRT,       NULL,D               ,False,True
10037,1,2017-01-19,2017-02-08,98,6,15,2,0,Transient,37.8,BB       ,PRT,       NULL,D               ,False,True
14946,1,2015-04-15,2015-11-16,270,1,3,2,0,Transient-Party,59.4,HB       ,PRT,       NULL,A               ,False,True
5835,1,2016-05-06,2016-05-15,9,1,0,2,0,Transient-Party,8.0,BB       ,PRT,       NULL,A               ,False,True
12923,1,2017-01-29,2017-07-23,175,2,5,2,0,Transient,198.0,BB       ,GBR,       NULL,E               ,False,True
9012,1,2016-06-20,2016-10-22,178,2,2,2,0,Transient,70.75,BB       ,SWE,       NULL,E               ,False,True
11814,1,2016-04-15,2017-05-31,411,2,4,2,0,Transient,71.1,BB       ,PRT,       NULL,A               ,False,True
4337,1,2015-11-03,2016-03-04,162,6,15,2,0,Transient,82.0,HB       ,PRT,       NULL,A               ,False,True
3016,1,2015-10-10,2015-11-11,40,0,4,1,0,Transient-Party,40.0,BB       ,PRT,       NULL,A               ,False,True
9469,1,2016-11-23,2016-12-03,128,0,1,2,0,Transient-Party,64.0,HB       ,PRT,       NULL,A               ,False,True
2475,1,2015-07-06,2015-10-19,119,1,0,2,0,Transient,40.5,BB       ,PRT,       NULL,A               ,False,True
10247,1,2017-02-20,2017-02-22,2,0,4,1,0,Transient-Party,36.0,BB       ,PRT,       NULL,A               ,False,True
1299,1,2015-08-11,2015-08-23,41,2,3,2,0,Transient,164.4,BB       ,PRT,       NULL,A               ,False,True
8106,1,2016-08-19,2016-09-11,47,2,2,2,0,Transient,158.78,BB       ,ESP,       NULL,D               ,False,True
7905,1,2016-02-04,2016-09-01,282,4,10,2,0,Transient,81.0,BB       ,PRT,       NULL,A               ,False,True
9857,1,2017-01-01,2017-01-14,18,1,1,2,0,Transient,68.0,BB       ,ESP,       NULL,E               ,False,True
13140,1,2017-04-26,2017-08-01,358,4,10,2,0,Transient,190.96,HB       ,PRT,       NULL,A               ,False,True
5993,1,2016-04-11,2016-05-19,124,2,3,2,0,Transient,58.0,BB       ,PRT,       NULL,A               ,False,True
6165,1,2016-05-25,2016-05-27,7,0,1,1,0,Transient,58.0,HB       ,PRT,         20,A               ,False,True
12126,1,2016-09-13,2017-06-14,345,4,10,2,0,Transient,8.0,BB       ,PRT,       NULL,E               ,False,True
7058,1,2016-06-30,2016-07-18,119,1,4,2,0,Transient,100.8,BB       ,PRT,       NULL,D               ,False,True
4609,1,2016-01-22,2016-03-24,106,1,3,2,0,Transient,84.0,FB       ,PRT,       NULL,A               ,False,True
13746,1,2017-04-05,2017-08-28,222,1,4,2,0,Transient,206.0,HB       ,GBR,       NULL,D               ,False,True
5982,1,2016-04-13,2016-05-18,40,0,2,1,0,Transient,55.0,BB       ,PRT,       NULL,A               ,False,True
12889,1,2017-02-16,2017-07-22,159,2,5,2,0,Transient,192.0,HB       ,ESP,       NULL,A               ,False,True
18358,1,2015-11-17,2016-02-07,82,2,0,2,0,Transient-Party,86.0,BB       ,PRT,       NULL,A               ,True,True
10864,1,2016-12-25,2017-04-08,233,2,6,2,0,Transient,62.34,BB       ,DEU,       NULL,A               ,False,True
11630,1,2017-04-22,2017-05-22,78,1,4,2,2,Transient,165.0,BB       ,DEU,       NULL,G               ,False,True
13597,1,2017-04-21,2017-08-21,122,1,4,2,1,Transient,295.5,HB       ,PRT,       NULL,A               ,False,True
5017,1,2016-01-05,2016-04-12,168,0,2,2,0,Transient,86.0,HB       ,PRT,       NULL,A               ,False,True
12960,1,2017-03-20,2017-07-25,129,0,2,1,0,Transient,175.5,BB       ,PRT,       NULL,D               ,False,True
12270,1,2017-06-10,2017-06-21,17,1,4,2,2,Transient,180.0,BB       ,DEU,       NULL,C               ,False,True
18044,1,2015-10-31,2015-10-31,155,1,1,2,0,Transient,36.0,BB       ,PRT,       NULL,A               ,False,True
7382,1,2016-05-10,2016-08-06,100,2,6,3,0,Transient,224.0,BB       ,PRT,       NULL,A               ,False,True
13556,1,2017-01-27,2017-08-19,211,2,5,3,0,Transient,174.24,HB       ,PRT,       NULL,A               ,False,True
9440,1,2016-11-17,2016-11-29,76,0,2,2,0,Transient-Party,50.0,BB       ,PRT,       NULL,E               ,False,True
8844,1,2016-10-06,2016-10-16,23,2,2,2,0,Transient-Party,81.0,HB       ,PRT,       NULL,E               ,False,True
9658,1,2016-10-11,2016-12-23,91,2,4,2,1,Transient-Party,75.6,HB       ,ESP,       NULL,A               ,False,True
4066,1,2016-01-26,2016-02-12,111,0,2,2,0,Transient,70.0,FB       ,PRT,       NULL,A               ,False,True
7030,1,2016-04-04,2016-07-17,107,2,4,2,0,Transient,237.0,HB       ,PRT,       NULL,E               ,False,True
2812,1,2015-10-26,2015-10-31,155,0,1,2,0,Transient,36.0,BB       ,PRT,       NULL,A               ,False,True
5122,1,2016-03-18,2016-04-18,185,1,1,2,0,Transient-Party,86.0,HB       ,PRT,       NULL,A               ,False,True
15703,1,2015-07-31,2015-09-25,245,0,1,2,0,Transient,80.0,HB       ,PRT,       NULL,A               ,False,True
13747,1,2017-08-26,2017-08-28,175,1,4,2,0,Transient,230.0,BB       ,ESP,       NULL,E               ,False,True
11201,1,2016-09-26,2017-04-28,215,2,2,2,0,Transient,82.8,HB       ,ESP,       NULL,A               ,False,True
8575,1,2016-03-04,2016-10-06,383,1,3,2,0,Transient-Party,48.0,BB       ,PRT,       NULL,A               ,False,True
5034,1,2016-03-10,2016-04-13,35,0,1,1,0,Transient,56.0,BB       ,PRT,       NULL,A               ,False,True
4288,1,2016-03-02,2016-03-02,0,0,1,1,0,Transient,40.0,BB       ,PRT,       NULL,A               ,False,True
11607,1,2017-05-03,2017-05-20,471,2,5,2,0,Transient,47.0,BB       ,PRT,       NULL,A               ,False,True
14999,1,2015-04-29,2015-09-03,244,0,3,2,0,Transient,36.0,BB       ,PRT,       NULL,A               ,False,True
8779,1,2016-10-13,2016-10-13,0,0,1,1,0,Transient,50.0,BB       ,,        457,A               ,False,True
7552,1,2016-06-22,2016-08-14,54,2,5,2,0,Transient,189.0,BB       ,FRA,       NULL,A               ,False,True
9626,1,2016-07-19,2016-12-21,247,1,4,2,0,Transient,55.8,BB       ,FRA,       NULL,E               ,False,True
2186,1,2015-07-17,2015-10-04,170,4,8,2,0,Transient,44.5,BB       ,CN,       NULL,A               ,False,True
10102,1,2017-01-26,2017-02-12,18,2,0,2,0,Transient,58.0,BB       ,GBR,       NULL,D               ,False,True
9130,1,2016-06-21,2016-10-28,131,2,5,2,0,Transient,63.03,BB       ,GBR,       NULL,E               ,False,True
7657,1,2016-06-25,2016-08-18,54,2,5,2,0,Transient,226.14,BB       ,ESP,       NULL,E               ,False,True
9941,1,2016-11-18,2017-01-27,73,8,21,1,0,Transient,37.83,BB       ,CN,       NULL,A               ,False,True
7895,1,2016-08-19,2016-09-01,158,2,6,2,0,Transient,139.0,BB       ,PRT,       NULL,A               ,False,True
8342,1,2016-09-19,2016-09-22,191,2,5,2,0,Transient,66.6,BB       ,PRT,       NULL,D               ,False,True
11060,1,2017-02-28,2017-04-16,131,2,5,2,0,Transient-Party,80.0,HB       ,PRT,       NULL,A               ,False,True
13451,1,2017-04-13,2017-08-15,371,2,8,2,0,Contract,104.85,BB       ,PRT,       NULL,A               ,False,True
11655,1,2017-04-22,2017-05-25,41,0,1,2,0,Transient,121.0,HB       ,POL,       NULL,A               ,False,True
12356,1,2016-10-16,2017-06-25,263,2,5,2,0,Transient,82.0,BB       ,GBR,       NULL,A               ,False,True
5513,1,2016-04-18,2016-04-30,32,2,5,2,0,Transient,93.57,BB       ,NLD,       NULL,E               ,False,True
8414,1,2016-01-22,2016-09-26,339,3,6,2,0,Transient,80.0,HB       ,PRT,       NULL,A               ,False,True
14965,1,2015-04-25,2015-08-01,169,3,6,2,0,Transient,125.9,BB       ,PRT,       NULL,A               ,False,True
